위도,경도
37.5664734170529,127.0039436541
37.5652684538307,127.0133763568
37.5521442775352,127.0123820902
37.5650442671787,127.0163849637
37.5587633776035,127.0048020452
37.5608773647515,126.9915846106
37.5661815238113,126.9928483417
37.5705022157858,126.9889228527
37.5689505293286,126.9880791096
37.6000216905431,126.9584633729
37.6052486740828,126.9666272878
37.5814096566494,126.9811225837
37.576770888086,126.9740067438
37.5842278806099,126.9705838683
37.5814734297903,126.9694263329
None,
37.5689472465748,126.976429659
37.5707552628269,126.9722339132
37.5760685772833,126.9688539165
37.5725887471851,126.979018964
37.5680079853085,126.9799914394
37.5568085815143,126.9715661479
37.5635895671109,126.9839684943
37.5590136645085,126.976391931
37.5578893434364,126.9671156157
37.558093937192,126.9788230445
37.5638265102548,126.9754669275
37.5698843736468,126.9611092996
37.5585525829582,126.9430098717
37.5952477134009,126.9464239732
37.5702755077088,126.9328490908
37.5760408583713,126.9240383023
37.582993055067,126.912877409
37.5881707286561,126.9445532828
37.5836053290869,126.9362111812
37.5861083962149,127.0014075481
37.578611713366,127.0060453291
37.5892784329492,126.9975992996
37.5784936918859,127.0135419686
37.5726963187211,127.0171174556
37.5759851806728,127.0105262011
37.5707367126759,127.0016317274
37.5729430706406,127.0048664607
37.5389037956572,126.9650121545
37.549159039208,126.9784794043
37.5343115810699,126.9944036863
37.5310848781248,127.0063425475
37.5265772465655,127.0002088375
37.5361101058592,126.9747084404
37.5248628078572,126.9704127278
37.597322581692,127.0124033877
37.5867215345551,127.0165983797
37.6106064012716,127.0192656764
37.6160729681366,127.0086028303
37.6045609452845,127.0107203693
37.5932727259297,126.9984719528
37.5728434233834,127.03720896
37.584106726199,127.0452724259
37.5855626699461,127.0420264153
37.5761294460211,127.0479380935
37.5863730931314,127.0542291729
None,
37.5767936401153,127.0744038472
37.5964838564998,127.0681153277
37.5846745156333,127.0680238418
37.5910847312738,127.0518492702
37.5473472146038,126.9293114267
37.5518094602317,126.9540398182
37.5687316891162,126.9090823473
37.5518763429182,126.9134625073
37.5425613405773,126.9430833756
37.5782806848788,126.8938446196
37.554339428821,126.902733477
37.5603356081643,126.9237621302
37.5180106135789,126.907513795
37.5296207835407,126.9266911111
37.5135821557429,126.8976500671
None,
37.5135076032297,126.9141091384
37.522723047751,126.8896845217
37.5336156813601,126.9012638906
37.4934305498189,126.8987028656
37.498313519439,126.8980343716
37.5134499023277,126.9014811658
37.5603019185024,127.0417943498
37.5482232014778,127.0552455595
37.5380574969255,127.0522732664
37.5666688968744,127.0326583538
37.5574289059055,127.0288558961
37.5438389184568,127.0143489486
37.5547388017359,127.0196183028
37.5497977040106,127.0300203621
37.5647821400746,127.0517587082
37.480543999454,126.9795302079
37.5111477441801,126.933297744
37.5059329821861,126.936202457
37.4841180387831,126.9732554446
37.5124023060832,126.9536371224
37.4866458271285,126.9059471148
37.4985652656913,126.9205740485
37.5444546646191,127.1033165015
37.5465267774587,127.0712676296
37.5637201146154,127.0827881011
37.5601504693098,127.0814751063
37.5688068928836,127.0801380972
37.5653510301975,127.0872605045
37.5338581490659,127.0716161521
37.5366207935691,127.0769223469
37.5351870096292,127.0636359963
37.5458954287516,127.0916676522
37.6016345299694,126.9264458853
37.5917796902503,126.9053575256
37.6088118976774,126.9318356043
37.5905275289984,126.9175368393
37.6045881730664,126.9150656565
37.6201553368322,127.0282649454
37.6163094791984,127.0304008102
37.6306754435128,127.0175812886
37.6409214297195,127.0170978601
37.6443352147613,127.0265846815
37.6394398066975,127.0124040413
37.6359777996055,127.0325802411
37.6236254564886,127.0481299964
37.6248320047698,127.0181775694
37.4542211790837,126.8998198578
37.4695360013908,126.9034615863
37.4510427230003,126.9125956774
37.4799367297212,126.8880557451
37.4646448212254,126.8947575242
37.5990315026677,127.095531642
37.5979867086444,127.0722092227
37.5809441456434,127.0799363417
37.6147837734163,127.0955292509
37.5882025518883,127.0938774268
37.5832071216876,127.0841549005
37.5913260054733,127.0728505622
37.6146247980813,127.0815323521
37.5083158851838,127.0410178566
37.5138651397213,127.0293217579
37.5152038126855,127.0338464445
37.5149074360264,127.0605458567
37.5122844954864,127.0434104559
37.5207979095084,127.0542755686
37.5183707913463,127.024133358
37.5293473229076,127.0356144423
37.4860068452142,126.9343644034
37.4783269065956,126.9575957297
37.4840164722611,126.933317349
37.473859396558,126.9352631499
37.4873527233282,126.945428874
37.4746878600089,126.977875262
37.4611182549024,126.9192499548
37.479924213477,126.9156104671
37.4872984954348,126.9142050743
37.551558168546,126.8496563714
37.5623696520713,126.8082784571
37.5293516336519,126.8455601425
37.5328910922891,126.863140781
37.5798053719259,126.8146820895
37.5518937887923,126.8674025734
37.5448086639425,126.8618691763
37.5494063246067,126.8260426656
37.5446697303679,126.8351791002
37.5672439954454,126.8242311101
37.5425732089475,127.1207772767
37.5294507820334,127.1391885842
37.5286775394179,127.1269573761
37.554996356036,127.1407840572
37.5253343295674,127.1456541064
37.5536441814625,127.1560881677
37.5648665308628,127.1732147747
37.5573170397825,127.1517064074
37.5562147602313,127.1658439568
37.6089587454453,127.0552685938
None,
37.6044172376097,127.0324131344
37.6000955868312,127.031262883
37.5022709315884,126.8838960981
37.4948162993423,126.8388422002
37.4892521149095,126.8907002001
37.5066010740517,126.8583023262
37.4918322570645,126.856448965
37.4866606515713,126.8913999182
37.4792089328892,126.8926603357
37.4838544428815,126.8425643361
37.5059651429834,127.0051862503
37.4549491368394,127.0649235347
37.535155935841,126.8784580754
37.544527409853,126.8623644166
37.5202997079635,126.8607681233
37.5244524591257,126.8635757837
37.5205420022268,126.834388422
37.5320545919305,126.8322518166
37.5149191698884,126.8549856522
37.5390738299023,126.8306735126
37.5102477467123,127.1257456778
37.512098848307,127.0821402878
37.5026743243957,127.0927488875
37.4981844710974,127.1253133588
37.4782186791909,127.1269258912
37.497026751356,127.1482101298
37.4851594484832,127.1297172757
None,
37.5068995168611,127.128101023
37.5201681247815,127.1125548863
37.4778540602867,127.1458751822
37.6420207179331,127.0683556201
37.6336796200966,127.0592872341
37.6225681689702,127.074597835
37.6550055224449,127.0669164043
37.652436756043,127.0773386663
37.6645870330059,127.063618911
37.6714710858571,127.0778527322
37.6796812226531,127.0550471359
37.4795232224285,126.9821628333
37.5021102658365,126.9969673034
37.4941486658541,126.988846954
37.4839605943547,126.9953409124
37.6214183477987,126.9265813559
37.6152127182381,126.9127088987
37.6399452531738,126.9208996448
37.6111463910781,126.9289843633
37.6522871533292,127.0517150138
37.6435195429165,127.0346163726
37.6645033394704,127.0400154847
37.6585099720895,127.0271850554
None,
37.6839933331141,127.0492782854
37.6575955499116,127.0380023544
37.6475127555581,127.0255827682
37.5013327562925,127.0437177178
37.494873946034,127.0626176241
37.489127606674,127.104813214
37.4651760424395,127.1073624399
37.4924161491256,127.0833735566
37.4797783863169,127.0511676253
